id,auto,gasoline_consumption,price,date,person_name,phone,discount,brand_origin
1,"Lada Vesta, grey",7.3,11243.440000000002,2019-12-15,Michael Wu,+1-587-114-0889x3149,20,Russia
2,"BMW F80, red",8.3,63761.75,2019-01-29,Carla Smith,001-818-501-7528x0438,0,Germany
3,"Hyundai Elantra, red",5,42584.0625,2021-08-29,Daniel Sanders,(925)028-0929x847,0,South Korea
4,"Lada Samara, pink",7.8,9902.4,2017-02-08,Summer Diaz,325.358.2773,0,Russia
5,"Audi S3, grey",6.9,18307.8,2020-05-12,Matthew Anderson,+1-993-672-9259,0,Germany
6,"Tesla Model X, orange",null,71164.6,2019-02-20,Jason Davis,001-152-737-8038x4580,0,USA
7,"Hyundai Elantra, purple",5,32153.5305,2022-12-29,Amanda Rice,+1-715-936-8028x534,9,South Korea
8,"Tesla Model Y, red",null,53533.125,2015-07-24,Jason Richards,+1-156-925-9372,0,USA
9,"BMW F80, blue",8.3,45032.4,2022-10-04,Tonya Rivera,328-325-5524,0,Germany
10,"Hyundai Sonata, yellow",6,32253.604949999994,2021-05-14,Martha Parker,(497)927-8237,17,South Korea
11,"Kia Rio, blue",3.1,21674.399999999998,2018-08-03,David Hardy,(323)544-4277x436,0,South Korea
12,"Lada Vesta, grey",7.3,9002.7,2020-06-08,Mark Watson,178.946.2026x8549,0,Russia
13,"Audi S3, grey",6.9,27602,2017-12-24,Elizabeth Nelson,001-105-436-3214,0,Germany
14,"BMW F30, yellow",2,42299.932499999995,2021-08-29,Robert Lopez,+1-935-027-5245x93386,0,Germany
15,"Audi A3, blue",5.7,26491.5,2020-12-25,Laura Mcclain,001-421-755-7001x3489,0,Germany
16,"Porsche 911, green",12,50619.6,2020-10-09,Anthony Brown,483.824.9640,0,null
17,"Tesla Model X, yellow",null,49587.884999999995,2015-02-16,Brandy Martin,760.637.8783,0,USA
18,"Kia Rio, red",3.1,26753.625,2020-01-17,Jeremy Jennings,368-832-6133x334,0,South Korea
19,"Audi A3, orange",5.7,18167.4,2015-08-09,Amanda Kelly,153-419-1305x696,0,Germany
20,"Porsche 911, blue",12,66751.65000000001,2021-09-17,Wayne Miller,0787813258,0,null
21,"Audi S3, purple",6.9,31642.8,2018-11-07,Lori Booth,591-205-3448x97977,0,Germany
22,"Tesla Model X, blue",null,32188.5,2020-11-06,Jose Love,+1-927-036-4837x328,0,USA
23,"Tesla Model 3, blue",null,53075.1,2019-05-01,Dawn Kennedy,+1-480-330-6763,0,USA
24,"BMW F80, yellow",8.3,49078.8375,2022-02-22,Cynthia Obrien,+1-019-779-5632x69570,0,Germany
25,"Audi A3, pink",5.7,13397.4,2020-11-26,Linda Romero,(321)142-7051,0,Germany
26,"BMW F80, red",8.3,44556.25,2017-06-24,Brandy Sanders,001-765-258-7989x42194,0,Germany
27,"Lada Kalina, green",6.7,11796.15,2016-05-21,Charles Martinez,7555933146,0,Russia
28,"Lada Samara, red",7.8,18363.5,2016-11-27,Corey Moran Jr.,001-466-837-8618x684,0,Russia
29,"BMW F30, pink",2,19449.72,2020-08-29,James Turner,2994237132,0,Germany
30,"Tesla Model S, yellow",null,61159.87499999999,2021-07-16,Catherine Burton,001-327-862-1167x755,0,USA
31,"Tesla Model X, grey",null,50465.1,2021-01-16,Colleen Daniels,(665)929-3526x419,0,USA
32,"Tesla Model 3, grey",null,39951.299999999996,2016-08-24,Kathleen Vega,209-614-1984,0,USA
33,"Hyundai Avante, red",5.5,40602.1875,2021-05-25,Nicholas Gilbert,001-522-494-0862,0,South Korea
34,"Kia K5, yellow",4.9,37778.649999999994,2019-07-23,Mary Ramirez,(845)167-9181x4413,0,South Korea
35,"Audi A3, blue",5.7,21506.100000000002,2021-04-03,Kathleen Kim,(898)584-4111,0,Germany
36,"Audi S3, orange",6.9,22949.850000000002,2021-11-26,Brent Johnson,470-862-1523x4889,0,Germany
37,"Kia K5, purple",4.9,27571.85,2016-05-01,Joshua Calderon,+1-780-333-1885x54780,0,South Korea
38,"Audi A3, pink",5.7,17764.559999999998,2018-08-22,Wendy Fox,558.405.5322,0,Germany
39,"Tesla Model Y, grey",null,46628.85,2016-04-18,Heather Gutierrez,0651354031,0,USA
40,"Tesla Model Y, blue",null,32596.2,2020-11-22,George Howard,4064027070,0,USA
41,"BMW F80, blue",8.3,38219.26,2017-02-10,Timothy Morales,594.429.6892x8784,14,Germany
42,"Audi S3, red",6.9,40450.5,2018-12-30,Jennifer Hull,365.358.6863,0,Germany
