"person","cars"
"Aaron Montgomery","BMW M3"
"Adam Friedman","Lada Kalina"
"Adam Nicholson","Porsche 911"
"Adam Ryan","Hyundai Sonata"
"Adam Stevens","Hyundai Elantra"
"Adrian Cabrera","Audi S3, Audi S3"
"Adrienne Campbell","Tesla Model Y"
"Albert Harris","BMW F30"
"Alejandro Stevens","Tesla Model 3"
"Alex Nelson","BMW F30, Kia K5"
"Alexa Solis","BMW F80"
"Alexander Le","Audi A3"
"Alexandra Hartman","Hyundai Elantra"
"Alexandria Ross","Lada Samara"
"Alexis Smith","Kia Rio"
"Alexis Ward","BMW M3"
"Alfred Moore","Lada Vesta"
"Alice Martinez","BMW F80"
"Alicia Mejia","Porsche 911"
"Alisha Hale","Hyundai Avante"
"Allen Grant","Kia Rio"
"Allison Martinez","BMW F30"
"Alyssa Holt","Kia K5"
"Alyssa Mercado","Tesla Model X"
"Amanda Edwards","Audi RS3"
"Amanda Fernandez","Tesla Model X"
"Amanda Hatfield","Porsche 911"
"Amanda Kelly","Audi A3, BMW F30"
"Amanda Osborn","Lada Samara"
"Amanda Parker","Audi RS3"
"Amanda Rice","Hyundai Elantra, Audi RS3"
"Amanda Wells","Kia K5"
"Amanda Young","BMW F30"
"Amber Baldwin","Kia K5"
"Amber Barnett","Lada Kalina"
"Amy Bradley","BMW M3"
"Amy Fisher","Lada Samara"
"Amy Thomas","BMW F80"
"Amy Wilson","BMW M3"
"Andrea Adkins","Tesla Model S"
"Andrea Barnett","Kia Rio"
"Andrea Butler","Hyundai Elantra"
"Andrea Campbell","Audi A3, Tesla Model S"
"Andrea Edwards","Tesla Model 3"
"Andrea Harrison","Tesla Model 3"
"Andrea Jenkins","Tesla Model 3"
"Andrew Ellis","Hyundai Elantra"
"Andrew Henry","Audi RS3"
"Andrew Reilly","Lada Samara"
"Andrew Torres","Lada Samara"
"Andrew Williams","Lada Vesta"
"Angel Raymond","Tesla Model 3"
"Angel Walker MD","Kia K5"
"Angela Clark","Tesla Model S"
"Angela Davis","Lada Vesta"
"Angela Flores","Tesla Model S"
"Angela Reese","Lada Vesta"
"Angela Salazar","Hyundai Sonata"
"Angela Taylor","Tesla Model S"
"Anita Gonzalez","Tesla Model 3, Audi RS3"
"Anita Stevens","BMW F80"
"Anna Davis","Audi RS3"
"Anna Gomez","Lada Samara"
"Anna Mack","Tesla Model 3"
"Anne Stevenson","Tesla Model S"
"Annette Nelson","Tesla Model 3"
"Anthony Brown","Porsche 911, Lada Samara"
"Anthony Richardson","Porsche 911"
"Antonio Harvey","Audi RS3"
"April Curry","Lada Vesta"
"April Harris","BMW F30"
"April Martinez MD","Tesla Model S"
"April Morrow","Lada Vesta"
"April Sloan","Tesla Model X"
"April Todd","Tesla Model Y"
"April Tran","Lada Vesta"
"Ariana Ortega","Hyundai Avante"
"Ariel Parker","Tesla Model Y"
"Ashley Barrett","Hyundai Elantra"
"Ashley Hood MD","Tesla Model X"
"Ashley Johnson","Tesla Model X"
"Ashley Mccarthy","BMW F80"
"Ashley Morgan","BMW M3, Hyundai Avante"
"Ashley Thompson","Tesla Model Y"
"Ashley Yang","BMW F80"
"Audrey Nguyen","Tesla Model S"
"Austin Howard","Tesla Model 3"
"Bailey Guzman","Hyundai Elantra"
"Barbara Day","Lada Samara"
"Barbara Norton","Tesla Model X"
"Barbara Taylor","Audi S3"
"Barbara Villegas","Audi S3"
"Becky Fox","BMW F30"
"Becky Peterson","Hyundai Avante"
"Becky Williams","Lada Kalina"
"Belinda Ayala","Hyundai Elantra"
"Benjamin Ballard","Porsche 911"
"Beth Anderson","Audi A3"
"Beverly Dorsey","Tesla Model 3"
"Blake Turner","Kia K5"
"Bradley Ross","Tesla Model Y"
"Brandi Williams","Audi A3"
"Brandon Bowman","Hyundai Sonata, Tesla Model S"
"Brandon Patel","BMW M3"
"Brandon Richardson","Audi A3"
"Brandy Martin","Tesla Model X, BMW F30"
"Brandy Sanders","BMW F80, Lada Kalina"
"Breanna Wallace","Tesla Model 3"
"Brenda Evans","Lada Kalina"
"Brenda Jenkins","Kia Rio"
"Brenda Mitchell","Tesla Model X"
"Brent Johnson","Audi S3, Porsche 911"
"Brian Avila","Kia Rio"
"Brian Brown","Porsche 911"
"Brian Bryant","Tesla Model Y"
"Brian Cruz","Kia K5"
"Brian Ellis","Audi A3"
"Brian Hayes","BMW M3"
"Brian Pittman","BMW F30"
"Brian Simpson","Porsche 911"
"Brian Snyder","Kia Rio"
"Brian Vega","Tesla Model 3"
"Brianna Henderson","Lada Kalina"
"Brianna Thompson","Kia K5"
"Brittany Donovan","Tesla Model X"
"Brittany Kim","Lada Vesta"
"Brittany Perez","Audi A3"
"Brittany Smith","BMW F30"
"Brittany Wilson","Tesla Model S"
"Brooke Haley","BMW F30"
"Bruce Brewer","Tesla Model Y"
"Bryan Frank","BMW F80"
"Bryan Jackson","Tesla Model 3"
"Bryan King","Hyundai Elantra, BMW F30"
"Caitlin Cook","Porsche 911"
"Caleb George","Tesla Model X"
"Calvin Blake","Lada Samara"
"Calvin Turner","Hyundai Sonata, Tesla Model Y"
"Carla Smith","BMW F80, Lada Vesta"
"Carlos Conway","Audi A3"
"Carlos Watson","Lada Vesta"
"Carol Henry","Tesla Model Y"
"Carrie Wagner","Hyundai Elantra"
"Carrie Young","Hyundai Sonata"
"Casey Lewis","Lada Kalina"
"Cassandra Good","Audi S3"
"Cassidy Robinson","BMW F30"
"Catherine Avila","Hyundai Sonata"
"Catherine Burton","Tesla Model S, BMW F30"
"Catherine Garcia","Tesla Model Y"
"Charles Carroll","BMW F80"
"Charles Graves","Audi RS3, Hyundai Avante"
"Charles Martinez","Lada Kalina, Lada Kalina"
"Charles Scott","Tesla Model 3"
"Charles Young","BMW F80"
"Cheryl Jackson","Kia K5"
"Christian Blair","Tesla Model 3"
"Christina Cross","Hyundai Sonata"
"Christina Gray","Tesla Model S"
"Christina Miller","Audi S3"
"Christina Moore","Lada Kalina"
"Christina Nielsen","Audi S3"
"Christina Oconnell","Audi RS3"
"Christine Dennis","BMW F30"
"Christine Duncan","Audi RS3, Tesla Model 3"
"Christine Durham","Lada Samara"
"Christopher Anderson","Tesla Model 3"
"Christopher Bowman","Tesla Model Y"
"Christopher Cohen","Tesla Model S"
"Christopher Orozco","Lada Vesta"
"Christy Haas DVM","Tesla Model 3"
"Cindy Lucero","BMW F30"
"Cody Baldwin","Lada Vesta"
"Cody Greer","Hyundai Sonata"
"Cody Lloyd","Hyundai Sonata"
"Cody Martinez","Tesla Model X"
"Cody Werner","Tesla Model X"
"Cole Coleman","Audi A3"
"Cole Flowers","Tesla Model 3"
"Colin Moreno","BMW M3"
"Colleen Daniels","Tesla Model X, Tesla Model 3"
"Collin Lewis","Lada Vesta"
"Corey Moran Jr.","Lada Samara, Lada Vesta"
"Courtney Warner","Hyundai Avante"
"Craig Johnson","Tesla Model Y"
"Craig Solomon","Kia Rio, Tesla Model X"
"Crystal Sanders","BMW F80"
"Curtis Moore","Lada Kalina"
"Cynthia Brown","BMW F80"
"Cynthia Obrien","BMW F80, Audi RS3"
"Dan Dixon","Lada Samara"
"Dana Turner","Hyundai Sonata"
"Daniel Avila","Lada Samara"
"Daniel Mendez","Lada Vesta"
"Daniel Norton","Tesla Model 3"
"Daniel Sanders","Hyundai Elantra, Tesla Model S"
"Daniel Wright","Kia K5"
"Danielle Deleon","Hyundai Avante"
"Danielle Schmidt","BMW F80"
"Danny Bentley","Tesla Model X"
"Darlene Hardy","Hyundai Elantra"
"Darlene Ramirez","Audi RS3"
"Darrell Hall","Kia K5"
"Darrell Rodriguez","Hyundai Avante"
"David Booker","Audi A3"
"David Bowen","Tesla Model S"
"David Castaneda","Kia Rio"
"David Dyer","Lada Kalina"
"David Fields","Tesla Model S"
"David Fischer","Kia K5"
"David Fry","BMW F80"
"David Gonzales","Audi RS3"
"David Harding","Tesla Model X, BMW M3"
"David Hardy","Kia Rio, Tesla Model X"
"David Kelley","Porsche 911"
"David Lewis","Lada Kalina"
"David Mccullough","Lada Kalina"
"David Ruiz","BMW F30"
"David Thomas","Hyundai Elantra"
"David Tucker","Kia K5"
"David Walsh","Tesla Model Y"
"Dawn Kennedy","Tesla Model 3, Lada Vesta"
"Dawn Montgomery","Lada Vesta"
"Debbie Buckley","Tesla Model X"
"Deborah Harrison","Audi RS3"
"Deborah Nelson","Audi S3"
"Deborah Taylor","Kia K5"
"Debra Mcmahon","Porsche 911"
"Debra Taylor","Audi S3"
"Denise Henderson","Tesla Model Y"
"Denise Rodriguez","BMW F80"
"Dennis Mendoza","BMW M3"
